volume,vwap,open,close,high,low,timestamp,trades
3395.0,252.4908,253.38,252.52,253.38,252.16,2025-10-01 08:00:00,108
1872.0,252.3758,252.35,252.37,252.37,252.34,2025-10-01 08:01:00,133
1239.0,252.267,252.27,252.27,252.27,252.27,2025-10-01 08:02:00,70
2661.0,252.0654,252.15,252.0,252.15,252.0,2025-10-01 08:03:00,121
1543.0,252.2307,252.22,252.26,252.28,252.21,2025-10-01 08:04:00,70
3711.0,252.1324,252.18,252.01,252.19,252.01,2025-10-01 08:06:00,123
1823.0,252.1337,252.14,252.17,252.17,252.14,2025-10-01 08:07:00,120
1027.0,252.1487,252.22,252.1,252.22,252.1,2025-10-01 08:10:00,34
1405.0,251.9202,251.97,251.9,251.97,251.9,2025-10-01 08:12:00,62
400.0,251.7799,251.78,251.78,251.78,251.78,2025-10-01 08:13:00,27
747.0,251.815,251.82,251.82,251.82,251.82,2025-10-01 08:14:00,22
966.0,251.9521,251.94,251.99,251.99,251.94,2025-10-01 08:15:00,28
798.0,251.7974,251.81,251.82,251.82,251.76,2025-10-01 08:16:00,21
370.0,251.7993,251.82,251.82,251.82,251.82,2025-10-01 08:17:00,19
561.0,251.792,251.73,251.84,251.84,251.73,2025-10-01 08:18:00,21
1825.0,251.6283,251.72,251.51,251.72,251.51,2025-10-01 08:23:00,97
918.0,251.7858,251.77,251.77,251.77,251.77,2025-10-01 08:24:00,56
249.0,251.9392,251.94,251.94,251.94,251.94,2025-10-01 08:27:00,9
1028.0,251.8621,251.92,251.85,251.92,251.85,2025-10-01 08:28:00,29
1057.0,252.0512,252.0,252.17,252.17,252.0,2025-10-01 08:31:00,54
347.0,252.1517,252.15,252.15,252.15,252.15,2025-10-01 08:32:00,31
1086.0,252.2259,252.21,252.23,252.24,252.21,2025-10-01 08:33:00,50
871.0,252.3103,252.31,252.32,252.32,252.31,2025-10-01 08:36:00,25
930.0,252.3411,252.31,252.35,252.35,252.31,2025-10-01 08:41:00,42
993.0,252.4837,252.46,252.49,252.49,252.46,2025-10-01 08:42:00,36
256.0,252.5021,252.5,252.5,252.5,252.5,2025-10-01 08:46:00,10
376.0,252.4527,252.5,252.5,252.5,252.5,2025-10-01 08:47:00,15
232.0,252.4245,252.4,252.4,252.4,252.4,2025-10-01 08:49:00,7
229.0,252.51,252.51,252.52,252.52,252.51,2025-10-01 08:55:00,8
4287.0,252.4881,252.47,252.51,252.51,252.41,2025-10-01 09:05:00,47
172.0,252.4597,252.44,252.44,252.44,252.44,2025-10-01 09:10:00,7
954.0,252.5909,252.56,252.6,252.6,252.55,2025-10-01 09:11:00,47
5571.0,252.8338,252.68,252.91,252.91,252.68,2025-10-01 09:17:00,101
676.0,252.7223,252.72,252.72,252.72,252.72,2025-10-01 09:18:00,26
403.0,252.8016,252.81,252.81,252.81,252.81,2025-10-01 09:25:00,23
325.0,252.8973,252.87,252.87,252.87,252.87,2025-10-01 09:26:00,19
4576.0,252.933,252.84,252.95,252.95,252.84,2025-10-01 09:27:00,41
995.0,253.0114,252.97,252.99,252.99,252.97,2025-10-01 09:28:00,58
411.0,253.0304,253.03,253.03,253.03,253.03,2025-10-01 09:29:00,12
555.0,252.9586,253.0,253.0,253.0,253.0,2025-10-01 09:31:00,36
1171.0,252.9485,253.0,252.99,253.0,252.95,2025-10-01 09:32:00,52
171.0,252.8141,252.81,252.81,252.81,252.81,2025-10-01 09:35:00,9
303.0,252.7901,252.79,252.79,252.79,252.79,2025-10-01 09:40:00,3
203.0,252.8608,252.86,252.86,252.86,252.86,2025-10-01 09:47:00,6
339.0,252.9028,252.9,252.9,252.9,252.9,2025-10-01 09:49:00,19
2113.0,252.9845,252.95,253.0,253.0,252.95,2025-10-01 09:50:00,45
220.0,253.0605,253.06,253.06,253.06,253.06,2025-10-01 09:51:00,8
578.0,253.0222,253.02,253.01,253.02,253.01,2025-10-01 09:56:00,27
982.0,253.1506,253.13,253.18,253.18,253.13,2025-10-01 10:01:00,48
580.0,253.1876,253.2,253.2,253.2,253.2,2025-10-01 10:08:00,27
763.0,253.3872,253.4,253.41,253.41,253.4,2025-10-01 10:10:00,64
5553.0,253.5886,253.45,253.77,253.77,253.44,2025-10-01 10:11:00,137
352.0,253.7699,253.77,253.77,253.77,253.77,2025-10-01 10:12:00,3
945.0,253.5417,253.62,253.5,253.62,253.5,2025-10-01 10:14:00,32
3464.0,253.8091,253.62,253.93,253.93,253.62,2025-10-01 10:15:00,56
204.0,253.8294,253.83,253.83,253.83,253.83,2025-10-01 10:17:00,5
622.0,253.7644,253.82,253.79,253.83,253.79,2025-10-01 10:18:00,17
376.0,253.6593,253.66,253.66,253.66,253.66,2025-10-01 10:20:00,8
206.0,253.6954,253.7,253.7,253.7,253.7,2025-10-01 10:21:00,9
897.0,253.7635,253.71,253.83,253.83,253.71,2025-10-01 10:22:00,22
283.0,253.8496,253.88,253.88,253.88,253.88,2025-10-01 10:27:00,11
456.0,253.8735,253.89,253.89,253.89,253.89,2025-10-01 10:28:00,21
2209.0,253.678,253.77,253.73,253.77,253.73,2025-10-01 10:29:00,74
838.0,253.5676,253.58,253.51,253.59,253.51,2025-10-01 10:31:00,9
210.0,253.5321,253.52,253.52,253.52,253.52,2025-10-01 10:33:00,8
483.0,253.6203,253.68,253.59,253.68,253.59,2025-10-01 10:35:00,28
142.0,253.3596,253.35,253.35,253.35,253.35,2025-10-01 10:44:00,11
1094.0,253.3201,253.34,253.24,253.34,253.24,2025-10-01 10:47:00,19
2212.0,253.4513,253.41,253.5,253.5,253.35,2025-10-01 10:49:00,58
867.0,253.4851,253.49,253.5,253.5,253.49,2025-10-01 10:59:00,37
1439.0,253.4783,253.46,253.59,253.59,253.4,2025-10-01 11:00:00,36
1909.0,253.6484,253.55,253.73,253.73,253.55,2025-10-01 11:06:00,48
356.0,253.69,253.69,253.69,253.69,253.69,2025-10-01 11:07:00,11
738.0,253.7799,253.73,253.82,253.82,253.73,2025-10-01 11:08:00,29
726.0,253.7259,253.75,253.79,253.79,253.75,2025-10-01 11:10:00,25
252.0,253.7066,253.75,253.75,253.75,253.75,2025-10-01 11:11:00,7
